Time (s),CH 1 Current,CH 1 Voltage
0,-5,3505
0.00001,-5,3505
0.00002,-5,3505
0.00003,-2,3505
0.00004,-5,3505
0.00005,-5,3500
0.00006,4,3449
0.00007,101,3258
0.00008,257,2997
0.00009,453,2721
0.0001,673,2477
0.00011,893,2266
0.00012,1125,2087
0.00013,1358,1947
0.00014,1584,1840
0.00015,1810,1763
0.00016,2012,1717
0.00017,2205,1703
0.00018,2376,1707
0.00019,2529,1719
0.0002,2678,1727
0.00021,2828,1734
0.00022,2957,1748
0.00023,3070,1770
0.00024,3174,1792
0.00025,3265,1809
0.00026,3351,1823
0.00027,3427,1840
0.00028,3495,1850
0.00029,3553,1853
0.0003,3608,1857
0.00031,3650,1860
0.00032,3690,1855
0.00033,3718,1853
0.00034,3739,1843
0.00035,3748,1836
0.00036,3757,1823
0.00037,3757,1811
0.00038,3754,1799
0.00039,3745,1787
0.0004,3727,1773
0.00041,3699,1756
0.00042,3672,1739
0.00043,3635,1722
0.00044,3586,1698
0.00045,3534,1683
0.00046,3482,1661
0.00047,3424,1637
0.00048,3357,1615
0.00049,3290,1591
0.0005,3219,1567
0.00051,3140,1540
0.00052,3060,1509
0.00053,2978,1482
0.00054,2892,1458
0.00055,2795,1429
0.00056,2703,1402
0.00057,2608,1371
0.00058,2510,1342
0.00059,2415,1313
0.0006,2315,1281
0.00061,2214,1248
0.00062,2113,1216
0.00063,2006,1185
0.00064,1902,1146
0.00065,1801,1112
0.00066,1700,1078
0.00067,1593,1042
0.00068,1492,1008
0.00069,1394,974
0.0007,1297,935
0.00071,1196,897
0.00072,1101,860
0.00073,1009,822
0.00074,924,783
0.00075,841,747
0.00076,759,706
0.00077,676,667
0.00078,603,628
0.00079,529,587
0.0008,453,551
0.00081,386,512
0.00082,324,471
0.00083,269,430
0.00084,217,391
0.00085,165,350
0.00086,123,311
0.00087,83,265
0.00088,44,229
0.00089,14,188
0.0009,-11,149
0.00091,-32,113
0.00092,-51,77
0.00093,-51,55
0.00094,-35,45
0.00095,-29,38
0.00096,-32,35
0.00097,-26,23
0.00098,-26,18
0.00099,-29,16
0.001,-23,18
0.00101,-29,18
0.00102,-26,21
0.00103,-23,21
0.00104,-26,23
0.00105,-26,23
0.00106,-26,23
0.00107,-23,23
0.00108,-23,23
0.00109,-23,23
0.0011,-26,23
0.00111,-26,23
0.00112,-23,23
0.00113,-23,23
0.00114,-26,26
0.00115,-23,23
0.00116,-23,23
0.00117,-23,23
0.00118,-23,23
0.00119,-23,23
0.0012,-23,23
0.00121,-26,23
0.00122,-23,23
0.00123,-23,23
0.00124,-23,21
0.00125,-23,23
0.00126,-26,21
0.00127,-23,23
0.00128,-23,21
0.00129,-23,21
0.0013,-23,21
0.00131,-23,21
0.00132,-23,21
0.00133,-23,23
0.00134,-23,21
0.00135,-23,21
0.00136,-20,21
0.00137,-23,21
0.00138,-23,23
0.00139,-23,21
0.0014,-23,21
0.00141,-20,21
0.00142,-20,18
0.00143,-23,21
0.00144,-23,21
0.00145,-23,18
0.00146,-20,21
0.00147,-23,21
0.00148,-20,21
0.00149,-20,18
0.0015,-23,21
0.00151,-23,18
0.00152,-23,21
0.00153,-20,21
0.00154,-23,21
0.00155,-20,21
0.00156,-23,18
0.00157,-20,21
0.00158,-23,18
0.00159,-23,18
0.0016,-20,18
0.00161,-20,18
0.00162,-23,21
0.00163,-20,21
0.00164,-23,21
0.00165,-23,21
0.00166,-23,18
0.00167,-20,18
0.00168,-20,18
0.00169,-20,18
0.0017,-23,18
0.00171,-23,18
0.00172,-20,18
0.00173,-23,18
0.00174,-20,18
0.00175,-20,18
0.00176,-20,18
0.00177,-23,18
0.00178,-23,18
0.00179,-20,21
0.0018,-20,16
0.00181,-20,16
0.00182,-20,18
0.00183,-20,18
0.00184,-20,18
0.00185,-20,18
0.00186,-23,16
0.00187,-23,18
0.00188,-23,18
0.00189,-20,16
0.0019,-23,18
0.00191,-23,18
0.00192,-20,16
0.00193,-23,16
0.00194,-20,16
0.00195,-23,16
0.00196,-20,16
0.00197,-20,18
0.00198,-23,16
0.00199,-20,18
